FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation
NA18992	NA18992	0	0	2.0	JPT	EAS
BB18	HG02107	0	0	1.0	ACB	AFR
Y018	NA18853	0	0	1.0	YRI	AFR
PR36	HG01173	0	0	1.0	PUR	AMR
NA18644	NA18644	0	0	2.0	CHB	EAS
PR32	HG01248	0	0	2.0	PUR	AMR
2426a	NA19913	0	0	2.0	ASW	AFR
CLM29	HG01351	0	0	2.0	CLM	AMR
IBS038	HG01707	0	0	2.0	IBS	EUR
NA19075	NA19075	0	0	1.0	JPT	EAS
NA20757	NA20757	0	0	2.0	TSI	EUR
BD26	HG03826	0	0	2.0	BEB	SAS
ST078	HG04006	0	0	1.0	STU	SAS
IT023	HG03784	0	0	2.0	ITU	SAS
IBS027	HG01675	0	0	1.0	IBS	EUR
CLM55	HG01468	0	0	2.0	CLM	AMR
PR70	HG01393	0	0	2.0	PUR	AMR
NA20585	NA20585	0	0	2.0	TSI	EUR
BB32	HG02334	0	0	1.0	ACB	AFR
PEL33	HG02003	0	0	2.0	PEL	AMR
PEL018	HG01947	0	0	1.0	PEL	AMR
SL22	HG03224	0	0	1.0	MSL	AFR
SH038	HG00531	0	0	2.0	CHS	EAS
1463	NA12890	0	0	2.0	CEU	EUR
BB37	HG02427	0	0	2.0	ACB	AFR
GB63	HG02808	0	0	2.0	GWD	AFR
NA19058	NA19058	0	0	1.0	JPT	EAS
VN002	HG01596	0	0	1.0	KHV	EAS
NA18567	NA18567	0	0	2.0	CHB	EAS
GB62	HG02805	0	0	2.0	GWD	AFR
NA20884	NA20884	0	0	1.0	GIH	SAS
GB32	HG02623	0	0	1.0	GWD	AFR
PEL57	HG02348	0	0	2.0	PEL	AMR
ST016	HG03885	0	0	1.0	STU	SAS
NA18643	NA18643	0	0	1.0	CHB	EAS
SH024	HG00472	0	0	1.0	CHS	EAS
ST190	HG04075	0	0	2.0	STU	SAS
HG02384	HG02384	0	0	1.0	CDX	EAS
NG93	HG03354	0	0	2.0	ESN	AFR
PK20	HG02694	0	0	2.0	PJL	SAS
PK13	HG02655	0	0	2.0	PJL	SAS
SL46	HG03439	0	0	1.0	MSL	AFR
NG24	HG02977	0	0	1.0	ESN	AFR
SH085	HG00689	0	0	1.0	CHS	EAS
VN031	HG01864	0	0	1.0	KHV	EAS
PR12	HG01055	0	0	2.0	PUR	AMR
BB11	HG01988	0	0	1.0	ACB	AFR
IT40	HG03875	0	0	1.0	ITU	SAS
Y021	NA18878	0	0	2.0	YRI	AFR
VN019	HG01852	0	0	1.0	KHV	EAS
BB64	HG02546	0	0	2.0	ACB	AFR
NA18621	NA18621	0	0	1.0	CHB	EAS
PEL019	HG01951	0	0	2.0	PEL	AMR
NA19456	NA19456	0	0	2.0	LWK	AFR
1421	NA12286	0	0	1.0	CEU	EUR
IBS053	HG01784	0	0	2.0	IBS	EUR
1362	NA11995	0	0	2.0	CEU	EUR
m033	NA19773	0	0	2.0	MXL	AMR
NA19346	NA19346	0	0	1.0	LWK	AFR
NA18957	NA18957	0	0	2.0	JPT	EAS
NA18961	NA18961	0	0	1.0	JPT	EAS
PEL47	HG02274	0	0	1.0	PEL	AMR
NG96	HG03363	0	0	2.0	ESN	AFR
HG02180	HG02180	0	0	2.0	CDX	EAS
HG02394	HG02394	0	0	1.0	CDX	EAS
NG108	HG03517	0	0	2.0	ESN	AFR
HG00125	HG00125	0	0	2.0	GBR	EUR
VN062	HG02064	0	0	1.0	KHV	EAS
ST047	HG03744	0	0	1.0	STU	SAS
2371	NA19711	0	0	1.0	ASW	AFR
SH083	HG00684	0	0	2.0	CHS	EAS
NA19457	NA19457	0	0	2.0	LWK	AFR
1349	NA11840	0	0	2.0	CEU	EUR
NA20535	NA20535	0	0	2.0	TSI	EUR
PR40	HG01191	0	0	2.0	PUR	AMR
HG00344	HG00344	0	0	2.0	FIN	EUR
HG00319	HG00319	0	0	2.0	FIN	EUR
PEL52	HG02298	0	0	2.0	PEL	AMR
NA20799	NA20799	0	0	2.0	TSI	EUR
1340	NA07000	0	0	2.0	CEU	EUR
NA19318	NA19318	0	0	1.0	LWK	AFR
1420	NA12004	0	0	2.0	CEU	EUR
BB15	HG02054	0	0	2.0	ACB	AFR
2436	NA19713	0	0	2.0	ASW	AFR
SH036	HG00524	0	0	1.0	CHS	EAS
NA20520	NA20520	0	0	1.0	TSI	EUR
HG00766	HG00766	0	0	2.0	CDX	EAS
SH086	HG00692	0	0	1.0	CHS	EAS
HG02401	HG02401	0	0	1.0	CDX	EAS
1447	NA12763	0	0	2.0	CEU	EUR
NA18599	NA18599	0	0	2.0	CHB	EAS
SH045	HG00556	0	0	1.0	CHS	EAS
GB50	HG02716	0	0	2.0	GWD	AFR
CLM38	HG01377	0	0	1.0	CLM	AMR
PEL52	HG02299	0	0	1.0	PEL	AMR
IBS044	HG01757	0	0	2.0	IBS	EUR
GB62	HG02804	0	0	1.0	GWD	AFR
PEL014	HG01935	0	0	1.0	PEL	AMR
HG03437	HG03437	0	0	2.0	MSL	AFR
1456	NA12828	0	0	2.0	CEU	EUR
1362	NA11994	0	0	1.0	CEU	EUR
HG02391	HG02391	0	0	1.0	CDX	EAS
CLM25	HG01284	0	0	2.0	CLM	AMR
Y051	NA19206	0	0	2.0	YRI	AFR
BB21	HG02255	0	0	1.0	ACB	AFR
NG25	HG02979	0	0	2.0	ESN	AFR
GB53	HG02756	0	0	1.0	GWD	AFR
CLM17	HG01259	0	0	1.0	CLM	AMR
NG49	HG03168	0	0	2.0	ESN	AFR
GB20	HG02568	0	0	2.0	GWD	AFR
PK17	HG02685	0	0	2.0	PJL	SAS
IBS052	HG01779	0	0	2.0	IBS	EUR
NA21142	NA21142	0	0	2.0	GIH	SAS
VN029	HG01862	0	0	2.0	KHV	EAS
SL16	HG03097	0	0	2.0	MSL	AFR
CLM26	HG01342	0	0	2.0	CLM	AMR
NA18940	NA18940	0	0	1.0	JPT	EAS
VN066	HG02076	0	0	1.0	KHV	EAS
CLM09	HG01140	0	0	2.0	CLM	AMR
IBS013	HG01536	0	0	1.0	IBS	EUR
GB16	HG02465	0	0	2.0	GWD	AFR
PK10	HG02604	0	0	2.0	PJL	SAS
NA18623	NA18623	0	0	1.0	CHB	EAS
Y003	NA18498	0	0	1.0	YRI	AFR
NA19002	NA19002	0	0	2.0	JPT	EAS
NA19375	NA19375	0	0	1.0	LWK	AFR
IBS024	HG01603	0	0	1.0	IBS	EUR
NA18647	NA18647	0	0	1.0	CHB	EAS
VN087	HG02512	0	0	1.0	KHV	EAS
NA20866	NA20866	0	0	1.0	GIH	SAS
IBS018	HG01620	0	0	2.0	IBS	EUR
HG00252	HG00252	0	0	1.0	GBR	EUR
BD51	HG04152	0	0	1.0	BEB	SAS
NA18525	NA18525	0	0	2.0	CHB	EAS
ST144	HG03985	0	0	1.0	STU	SAS
PK25	HG02731	0	0	2.0	PJL	SAS
HG00141	HG00141	0	0	1.0	GBR	EUR
NA20890	NA20890	0	0	1.0	GIH	SAS
1424	NA11930	0	0	1.0	CEU	EUR
1344	NA10851	NA12056	NA12057	1.0	CEU	EUR
BD65	HG04194	0	0	1.0	BEB	SAS
NA19393	NA19393	0	0	1.0	LWK	AFR
HG00290	HG00290	0	0	1.0	FIN	EUR
IT061	HG04017	0	0	1.0	ITU	SAS
IBS014	HG01632	0	0	2.0	IBS	EUR
BB55	HG02485	0	0	2.0	ACB	AFR
IBS009	HG01524	0	0	1.0	IBS	EUR
GB55	HG02763	0	0	2.0	GWD	AFR
m014	NA19717	0	0	1.0	MXL	AMR
NA18539	NA18539	0	0	2.0	CHB	EAS
BD62	HG04186	0	0	2.0	BEB	SAS
HG00267	HG00267	0	0	1.0	FIN	EUR
PEL26	HG01976	0	0	2.0	PEL	AMR
NA19028	NA19028	0	0	1.0	LWK	AFR
PEL35	HG02090	0	0	1.0	PEL	AMR
NG92	HG03352	0	0	1.0	ESN	AFR
CLM46a	HG01440	0	0	1.0	CLM	AMR
1463	NA12889	0	0	1.0	CEU	EUR
NA19088	NA19088	0	0	1.0	JPT	EAS
NA19007	NA19007	0	0	1.0	JPT	EAS
CLM07	HG01133	0	0	1.0	CLM	AMR
NA18533	NA18533	0	0	2.0	CHB	EAS
HG00182	HG00182	0	0	1.0	FIN	EUR
NA18619	NA18619	0	0	2.0	CHB	EAS
BD11	HG03607	0	0	2.0	BEB	SAS
NA21117	NA21117	0	0	1.0	GIH	SAS
m004	NA19676	0	0	1.0	MXL	AMR
BB02	HG01882	0	0	1.0	ACB	AFR
NG11	HG02938	0	0	1.0	ESN	AFR
NA18948	NA18948	0	0	1.0	JPT	EAS
m010	NA19682	0	0	1.0	MXL	AMR
m034	NA19776	0	0	2.0	MXL	AMR
HG03472	HG03472	0	0	1.0	MSL	AFR
ST203	HG04099	0	0	2.0	STU	SAS
BB34	HG02339	0	0	2.0	ACB	AFR
IT220	HG04198	0	0	1.0	ITU	SAS
HG00365	HG00365	0	0	2.0	FIN	EUR
ST018	HG03690	0	0	2.0	STU	SAS
IT225	HG04222	0	0	1.0	ITU	SAS
CLM37	HG01374	0	0	1.0	CLM	AMR
PK27	HG02737	0	0	2.0	PJL	SAS
GB33	HG02628	0	0	1.0	GWD	AFR
NA20586	NA20586	0	0	1.0	TSI	EUR
NA19475	NA19475	0	0	2.0	LWK	AFR
NA20797	NA20797	0	0	2.0	TSI	EUR
HG02215	HG02215	0	0	2.0	GBR	EUR
NA18945	NA18945	0	0	1.0	JPT	EAS
BD14	HG03615	0	0	1.0	BEB	SAS
CLM43	HG01432	0	0	2.0	CLM	AMR
IBS025	HG01669	0	0	1.0	IBS	EUR
BD35	HG03919	0	0	2.0	BEB	SAS
2493	NA20351	0	0	1.0	ASW	AFR
2401	NA19752	0	0	2.0	MXL	AMR
NA20904	NA20904	0	0	1.0	GIH	SAS
PK35	HG03015	0	0	1.0	PJL	SAS
NG73	HG03294	0	0	2.0	ESN	AFR
CLM40	HG01383	0	0	1.0	CLM	AMR
SL61	HG03484	0	0	1.0	MSL	AFR
m006	NA19654	0	0	2.0	MXL	AMR
HG00149	HG00149	0	0	1.0	GBR	EUR
HG00278	HG00278	0	0	1.0	FIN	EUR
PR13	HG01058	0	0	2.0	PUR	AMR
Y110	NA19213	0	0	1.0	YRI	AFR
HG00378	HG00378	0	0	2.0	FIN	EUR
CLM35	HG01369	0	0	2.0	CLM	AMR
PK32	HG02787	0	0	2.0	PJL	SAS
PK38	HG03229	0	0	2.0	PJL	SAS
VN050	HG02029	0	0	1.0	KHV	EAS
HG00117	HG00117	0	0	1.0	GBR	EUR
IT062	HG04022	0	0	1.0	ITU	SAS
2434	NA19923	0	0	2.0	ASW	AFR
HG01799	HG01799	0	0	2.0	CDX	EAS
SH036	HG00525	0	0	2.0	CHS	EAS
VN078	HG02128	0	0	1.0	KHV	EAS
HG00255	HG00255	0	0	2.0	GBR	EUR
HG02408	HG02408	0	0	1.0	CDX	EAS
CDX1	HG00867	HG00866	0	2.0	CDX	EAS
PR71	HG01396	0	0	2.0	PUR	AMR
HG00358	HG00358	0	0	1.0	FIN	EUR
PK46	HG03624	0	0	1.0	PJL	SAS
NG75	HG03301	0	0	1.0	ESN	AFR
BD45	HG04134	0	0	1.0	BEB	SAS
HG02410	HG02410	0	0	1.0	CDX	EAS
NA18630	NA18630	0	0	2.0	CHB	EAS
BD47	HG04140	0	0	1.0	BEB	SAS
HG03084	HG03084	0	0	1.0	MSL	AFR
BD28	HG03832	0	0	2.0	BEB	SAS
HG00335	HG00335	0	0	1.0	FIN	EUR
GB52	HG02722	0	0	2.0	GWD	AFR
NG14	HG02947	0	0	1.0	ESN	AFR
NA18999	NA18999	0	0	2.0	JPT	EAS
CLM53	HG01462	0	0	2.0	CLM	AMR
Y058	NA19222	0	0	2.0	YRI	AFR
NA20509	NA20509	0	0	1.0	TSI	EUR
GB18	HG02562	0	0	2.0	GWD	AFR
1330	NA12340	0	0	1.0	CEU	EUR
IBS009	HG01525	0	0	2.0	IBS	EUR
PR27	HG01089	0	0	2.0	PUR	AMR
BB25	HG02309	0	0	2.0	ACB	AFR
BD27	HG03829	0	0	2.0	BEB	SAS
NA19020	NA19020	0	0	1.0	LWK	AFR
NA19327	NA19327	0	0	2.0	LWK	AFR
BB28	HG02322	0	0	2.0	ACB	AFR
1463	NA12878	NA12891	NA12892	2.0	CEU	EUR
SL67	HG03563	0	0	2.0	MSL	AFR
1377	NA11893	0	0	1.0	CEU	EUR
VN085	HG02141	0	0	1.0	KHV	EAS
NA19308	NA19308	0	0	1.0	LWK	AFR
1347	NA11881	0	0	1.0	CEU	EUR
PK33	HG02789	0	0	1.0	PJL	SAS
BD20	HG03809	0	0	1.0	BEB	SAS
1358	NA12718	0	0	2.0	CEU	EUR
CLM30	HG01354	0	0	2.0	CLM	AMR
PEL003	HG01572	0	0	2.0	PEL	AMR
PR63	HG01312	0	0	2.0	PUR	AMR
CLM23	HG01277	0	0	1.0	CLM	AMR
GB87	HG02878	0	0	1.0	GWD	AFR
NA19401	NA19401	0	0	2.0	LWK	AFR
CLM47	HG01443	0	0	1.0	CLM	AMR
IBS031	HG01685	0	0	2.0	IBS	EUR
GB24	HG02585	0	0	1.0	GWD	AFR
NA19037	NA19037	0	0	2.0	LWK	AFR
PEL007	HG01892	0	0	1.0	PEL	AMR
PK23	HG02725	0	0	2.0	PJL	SAS
IBS008	HG01521	0	0	1.0	IBS	EUR
IBS029	HG01680	0	0	1.0	IBS	EUR
IT061	HG04026	0	0	2.0	ITU	SAS
NA18612	NA18612	0	0	1.0	CHB	EAS
SL15	HG03095	0	0	2.0	MSL	AFR
PK62	HG03708	0	0	1.0	PJL	SAS
HG00306	HG00306	0	0	2.0	FIN	EUR
NA18639	NA18639	0	0	1.0	CHB	EAS
PK58	HG03668	0	0	2.0	PJL	SAS
SH094	HG00717	0	0	2.0	CHS	EAS
VN008	HG01841	0	0	2.0	KHV	EAS
HG00331	HG00331	0	0	2.0	FIN	EUR
HG02356	HG02356	0	0	1.0	CDX	EAS
ST147	HG03998	0	0	1.0	STU	SAS
PR09	HG00739	0	0	1.0	PUR	AMR
HG02406	HG02406	0	0	1.0	CDX	EAS
HG00111	HG00111	0	0	2.0	GBR	EUR
ST171	HG04042	0	0	2.0	STU	SAS
HG03009	HG03009	0	0	1.0	BEB	SAS
HG00148	HG00148	0	0	1.0	GBR	EUR
PK53	HG03653	0	0	2.0	PJL	SAS
PK47	HG03629	0	0	1.0	PJL	SAS
Y035	NA19198	0	0	1.0	YRI	AFR
HG00137	HG00137	0	0	2.0	GBR	EUR
IBS028	HG01676	0	0	2.0	IBS	EUR
GB15	HG02462	0	0	2.0	GWD	AFR
HG00231	HG00231	0	0	2.0	GBR	EUR
NA19324	NA19324	0	0	2.0	LWK	AFR
HG02184	HG02184	0	0	2.0	CDX	EAS
IBS035	HG01697	0	0	2.0	IBS	EUR
ST082	HG03850	0	0	1.0	STU	SAS
SH076	HG00662	0	0	1.0	CHS	EAS
Y020	NA18877	0	0	1.0	YRI	AFR
IBS002	HG01504	0	0	2.0	IBS	EUR
BB68	HG02557	0	0	1.0	ACB	AFR
NG13	HG02943	0	0	2.0	ESN	AFR
SH079	HG00672	0	0	2.0	CHS	EAS
PK03	HG01586	0	0	1.0	PJL	SAS
PK55	HG03660	0	0	1.0	PJL	SAS
PEL53	HG02301	0	0	2.0	PEL	AMR
IT028	HG03789	0	0	2.0	ITU	SAS
CLM12	HG01148	0	0	1.0	CLM	AMR
PEL46	HG02272	0	0	2.0	PEL	AMR
2486	NA20339	0	0	2.0	ASW	AFR
VN025	HG01858	0	0	2.0	KHV	EAS
VN083	HG02139	0	0	2.0	KHV	EAS
HG02396	HG02396	0	0	1.0	CDX	EAS
PK21	HG02696	0	0	1.0	PJL	SAS
1328	NA06989	0	0	2.0	CEU	EUR
BB63	HG02541	0	0	1.0	ACB	AFR
SL59	HG03478	0	0	1.0	MSL	AFR
1459	NA12872	0	0	1.0	CEU	EUR
HG00357	HG00357	0	0	2.0	FIN	EUR
CLM62	HG01488	0	0	1.0	CLM	AMR
BB14	HG02051	0	0	1.0	ACB	AFR
PR25	HG01105	0	0	2.0	PUR	AMR
NA19091	NA19091	0	0	1.0	JPT	EAS
1454	NA12813	0	0	2.0	CEU	EUR
NA18549	NA18549	0	0	1.0	CHB	EAS
HG00190	HG00190	0	0	1.0	FIN	EUR
BB61	HG02537	0	0	2.0	ACB	AFR
ST090	HG03950	0	0	1.0	STU	SAS
SL72	HG03577	0	0	1.0	MSL	AFR
NG49	HG03169	0	0	1.0	ESN	AFR
1420	NA12006	0	0	2.0	CEU	EUR
HG02153	HG02153	0	0	2.0	CDX	EAS
PK34	HG02793	0	0	2.0	PJL	SAS
HG00096	HG00096	0	0	1.0	GBR	EUR
PEL020	HG01954	0	0	2.0	PEL	AMR
