Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Population elastic ID	Data collections
HGDP00478	male			Mbuti		Africa (HGDP)	MbutiHGDP	Human Genome Diversity Project
HGDP00080	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00567	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00092	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00574	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00100	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00579	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00105	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00581	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00129	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00586	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00131	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00721	female			Cambodian		East Asia (HGDP)	CambodianHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00136	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00726	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00023	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00733	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00035	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00738	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00047	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00740	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00054	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00745	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00542	male			Papuan Sepik		Oceania (HGDP)	PapuanSepikHGDP	Human Genome Diversity Project
HGDP00776	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP00547	male			Papuan,Papuan Sepik		Oceania (SGDP),Oceania (HGDP)	PapuanSGDP,PapuanSepikHGDP	Simons Genome Diversity Project,Human Genome Diversity Project
HGDP00788	male			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP00559	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00790	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00561	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00795	male			Orcadian		Europe (HGDP)	OrcadianHGDP	Human Genome Diversity Project
HGDP00364	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00803	male			Orcadian		Europe (HGDP)	OrcadianHGDP	Human Genome Diversity Project
HGDP00371	female			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00877	male			Maya		America (HGDP)	MayaHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00376	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00884	female			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP00388	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00889	female			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP00453	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00891	male			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP00458	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00896	male			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP00460	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00954	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP00465	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00959	female			Yakut		East Asia (HGDP)	YakutHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00472	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00961	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP00491	male			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP00966	female			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP00302	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00973	male			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP00307	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00930	male			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
HGDP00319	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00935	female			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
HGDP00321	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00942	male			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
HGDP00326	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00947	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP00333	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00858	female			Maya		America (HGDP)	MayaHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00237	female			Pathan		Central South Asia (HGDP)	PathanHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00860	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP00244	female			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00865	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP00251	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00872	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP00566	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00752	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00573	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00757	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00578	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00764	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00580	male			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00769	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00511	male			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00771	female			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00516	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00808	male			Orcadian		Europe (HGDP)	OrcadianHGDP	Human Genome Diversity Project
HGDP00523	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00810	male			Orcadian		Europe (HGDP)	OrcadianHGDP	Human Genome Diversity Project
HGDP00528	male			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00815	male			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP00535	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00822	male			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP00624	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00904	male			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP00629	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00909	female			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP00631	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00911	male			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP00636	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00916	female			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP00600	male			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP01104	male			Tujia		East Asia (HGDP)	TujiaHGDP	Human Genome Diversity Project
HGDP00612	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP01161	male			Tuscan		Europe (HGDP)	TuscanHGDP	Human Genome Diversity Project
HGDP00643	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP01166	male			Tuscan		Europe (HGDP)	TuscanHGDP	Human Genome Diversity Project
HGDP00648	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP01173	male			Bergamo Italian		Europe (HGDP)	BergamoItalianHGDP	Human Genome Diversity Project
HGDP00655	male			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP01180	male			Yi		East Asia (HGDP)	YiHGDP	Human Genome Diversity Project
HGDP00662	male			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP00985	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00667	female			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00992	male			San		Africa (HGDP)	SanHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00782	male			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01010	female			Karitiana		America (HGDP)	KaritianaHGDP	Human Genome Diversity Project
HGDP00787	female			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP01205	male			Oroqen		East Asia (HGDP)	OroqenHGDP	Human Genome Diversity Project
HGDP00794	female			Orcadian		Europe (HGDP)	OrcadianHGDP	Human Genome Diversity Project
HGDP01212	female			Oroqen		East Asia (HGDP)	OroqenHGDP	Human Genome Diversity Project
HGDP00799	female			Orcadian		Europe (HGDP)	OrcadianHGDP	Human Genome Diversity Project
HGDP01217	male			Daur		East Asia (HGDP)	DaurHGDP	Human Genome Diversity Project
HGDP00802	female			Orcadian		Europe (HGDP)	OrcadianHGDP	Human Genome Diversity Project
HGDP01224	male			Mongolian		East Asia (HGDP)	MongolianHGDP	Human Genome Diversity Project
HGDP00720	male			Cambodian		East Asia (HGDP)	CambodianHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP01229	male			Mongolian		East Asia (HGDP)	MongolianHGDP	Human Genome Diversity Project
HGDP00732	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP01231	female			Mongolian		East Asia (HGDP)	MongolianHGDP	Human Genome Diversity Project
HGDP00744	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP01236	male			Hezhen		East Asia (HGDP)	HezhenHGDP	Human Genome Diversity Project
HGDP00807	male			Orcadian		Europe (HGDP)	OrcadianHGDP	Human Genome Diversity Project
HGDP01243	male			Xibo		East Asia (HGDP)	XiboHGDP	Human Genome Diversity Project
HGDP00814	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01248	male			Xibo		East Asia (HGDP)	XiboHGDP	Human Genome Diversity Project
HGDP00819	male			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01255	male			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP00821	male			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01185	male			Yi		East Asia (HGDP)	YiHGDP	Human Genome Diversity Project
HGDP00838	female			Surui		America (HGDP)	SuruiHGDP	Human Genome Diversity Project
HGDP01192	male			Miao		East Asia (HGDP)	MiaoHGDP	Human Genome Diversity Project
HGDP00876	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP01197	female			Miao		East Asia (HGDP)	MiaoHGDP	Human Genome Diversity Project
HGDP00883	male			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP01200	male			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP00888	male			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP01027	female			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP00890	male			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP01041	female			Pima		America (HGDP)	PimaHGDP	Human Genome Diversity Project
HGDP00895	male			Russian		Europe (HGDP)	RussianHGDP	Human Genome Diversity Project
HGDP01053	female			Pima		America (HGDP)	PimaHGDP	Human Genome Diversity Project
HGDP00674	male			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP01058	female			Pima		America (HGDP)	PimaHGDP	Human Genome Diversity Project
HGDP00679	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP01060	male			Pima		America (HGDP)	PimaHGDP	Human Genome Diversity Project
HGDP00686	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP01065	female			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00845	male			Surui		America (HGDP)	SuruiHGDP	Human Genome Diversity Project
HGDP01072	female			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00864	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP01077	male			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00869	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP01096	male			Tujia		East Asia (HGDP)	TujiaHGDP	Human Genome Diversity Project
HGDP00871	female			Maya		America (HGDP)	MayaHGDP	Human Genome Diversity Project
HGDP01293	male			Northern Han		East Asia (HGDP)	NorthernHanHGDP	Human Genome Diversity Project
HGDP00693	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP01298	male			Uygur		Central South Asia (HGDP)	UygurHGDP	Human Genome Diversity Project
HGDP00698	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP01301	male			Uygur		Central South Asia (HGDP)	UygurHGDP	Human Genome Diversity Project
HGDP00701	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP01262	male			Mozabite		Middle East (HGDP)	MozabiteHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00751	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP01267	female			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP00756	female			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP01279	male			Mozabite		Middle East (HGDP)	MozabiteHGDP	Human Genome Diversity Project
HGDP00763	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00768	male			Japanese		East Asia (HGDP)	JapaneseHGDP	Human Genome Diversity Project
HGDP00977	male			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP00984	male			Mbuti		Africa (HGDP)	MbutiHGDP	Human Genome Diversity Project
HGDP01014	female			Karitiana		America (HGDP)	KaritianaHGDP	Human Genome Diversity Project
HGDP01019	male			Karitiana		America (HGDP)	KaritianaHGDP	Human Genome Diversity Project
HGDP01064	female			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP01069	male			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP01071	male			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP01090	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP01021	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01033	male			Bantu South Africa		Africa (HGDP)	BantuSouthAfricaHGDP	Human Genome Diversity Project
HGDP01057	male			Pima		America (HGDP)	PimaHGDP	Human Genome Diversity Project
HGDP01419	male			Bantu Kenya		Africa (HGDP)	BantuKenyaHGDP	Human Genome Diversity Project
HGDP00934	female			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
HGDP00939	female			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
HGDP00941	male			Yoruba		Africa (HGDP)	YorubaHGDP	Human Genome Diversity Project
HGDP00946	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP01184	male			Yi		East Asia (HGDP)	YiHGDP	Human Genome Diversity Project
HGDP01189	male			Miao		East Asia (HGDP)	MiaoHGDP	Human Genome Diversity Project
HGDP01196	female			Miao		East Asia (HGDP)	MiaoHGDP	Human Genome Diversity Project
HGDP01204	male			Oroqen		East Asia (HGDP)	OroqenHGDP	Human Genome Diversity Project
HGDP00953	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP00958	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP00960	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP00965	male			Yakut		East Asia (HGDP)	YakutHGDP	Human Genome Diversity Project
HGDP00972	female			Han		East Asia (HGDP)	HanHGDP	Human Genome Diversity Project
HGDP01349	male			Tu		East Asia (HGDP)	TuHGDP	Human Genome Diversity Project
HGDP01209	female			Oroqen		East Asia (HGDP)	OroqenHGDP	Human Genome Diversity Project
HGDP01351	male			Tu		East Asia (HGDP)	TuHGDP	Human Genome Diversity Project
HGDP01216	male			Daur		East Asia (HGDP)	DaurHGDP	Human Genome Diversity Project
HGDP01356	female			Tu		East Asia (HGDP)	TuHGDP	Human Genome Diversity Project
HGDP01230	male			Mongolian		East Asia (HGDP)	MongolianHGDP	Human Genome Diversity Project
HGDP01363	female			Basque		Europe (HGDP)	BasqueHGDP	Human Genome Diversity Project
HGDP01103	male			Tujia		East Asia (HGDP)	TujiaHGDP	Human Genome Diversity Project
HGDP01368	female			Basque		Europe (HGDP)	BasqueHGDP	Human Genome Diversity Project
HGDP01177	female			Bergamo Italian		Europe (HGDP)	BergamoItalianHGDP	Human Genome Diversity Project
HGDP01370	male			Basque		Europe (HGDP)	BasqueHGDP	Human Genome Diversity Project
HGDP00908	male			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP01375	male			Basque		Europe (HGDP)	BasqueHGDP	Human Genome Diversity Project
HGDP00910	female			Mandenka		Africa (HGDP)	MandenkaHGDP	Human Genome Diversity Project
HGDP01382	female			Adygei		Europe (HGDP)	AdygeiHGDP	Human Genome Diversity Project
HGDP01406	male			Bantu Kenya		Africa (HGDP)	BantuKenyaHGDP	Human Genome Diversity Project
HGDP01387	female			Adygei		Europe (HGDP)	AdygeiHGDP	Human Genome Diversity Project
HGDP01413	male			Bantu Kenya		Africa (HGDP)	BantuKenyaHGDP	Human Genome Diversity Project
